stack=a5n_s2;stackdb=a5n_s2_db2;saveTime=3525316772.327000;version=20150903_v1;,
idx,sLen2d,sLen3d,intmSeconds,isDirty,intBad,intManual,spineWidth,extendHead,scaleRadius,zPlusMinus,sSum,sMean,sSD,sN,bsss,bssm,bSum,bMean,bSD,bN,bxyManual,bxPos,byPos,dSum,dMean,dSD,dN,dPlus,dMinus,bsds,bsdm,sp_struct,sp_am,den_am,,
207.000000,NaN,NaN,3525156499.535000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,40290.000000,298.444444,339.352031,135.000000,2807.000000,20.792593,37483.000000,277.651852,248.769879,135.000000,NaN,64.536263,82.480263,48632.000000,371.236641,179.579587,131.000000,11.000000,11.000000,11149.000000,93.584789,NaN,NaN,NaN,NaN,
208.000000,NaN,NaN,3525156499.538000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,57702.000000,326.000000,317.087868,177.000000,-5578.000000,-31.514124,63280.000000,357.514124,180.357918,177.000000,NaN,82.105774,89.943222,90661.000000,604.406667,405.650693,150.000000,14.000000,14.000000,27381.000000,246.892542,NaN,NaN,NaN,NaN,
209.000000,NaN,NaN,3525156499.540000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,39796.000000,288.376812,307.055814,138.000000,28549.000000,206.876812,11247.000000,81.500000,32.015564,138.000000,NaN,93.743790,119.982780,56039.000000,675.168675,276.847753,83.000000,11.000000,11.000000,44792.000000,593.668675,NaN,NaN,NaN,NaN,
210.000000,NaN,NaN,3525156499.542000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,44876.000000,216.792271,316.533592,207.000000,40858.000000,197.381643,4018.000000,19.410628,8.647941,207.000000,NaN,102.274002,120.409996,127118.000000,1059.316667,376.465472,120.000000,17.000000,17.000000,123100.000000,1039.906039,NaN,NaN,NaN,NaN,
211.000000,NaN,NaN,3525156499.544000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,113133.000000,635.578652,736.758964,178.000000,110594.000000,621.314607,2539.000000,14.264045,5.429876,178.000000,NaN,104.178001,130.375488,121721.000000,1229.505051,644.368563,99.000000,14.000000,14.000000,119182.000000,1215.241006,NaN,NaN,NaN,NaN,
212.000000,NaN,NaN,3525156499.546000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,48358.000000,270.156425,227.968651,179.000000,44402.000000,248.055866,3956.000000,22.100559,20.285074,179.000000,NaN,107.889526,126.519531,27603814.000000,26.433067,55.612516,1044291.000000,14.000000,14.000000,27599858.000000,4.332508,NaN,NaN,NaN,NaN,
213.000000,NaN,NaN,3525156499.549000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,54342.000000,452.850000,480.164269,120.000000,49434.000000,411.950000,4908.000000,40.900000,9.754465,120.000000,NaN,101.539993,142.860001,124583.000000,1354.163043,599.887943,92.000000,10.000000,10.000000,119675.000000,1313.263043,NaN,NaN,NaN,NaN,
214.000000,NaN,NaN,3525156499.551000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,56230.000000,390.486111,246.915036,144.000000,52907.000000,367.409722,3323.000000,23.076389,10.907161,144.000000,NaN,90.070000,136.059998,154701.000000,1333.629310,721.986156,116.000000,12.000000,12.000000,151378.000000,1310.552921,NaN,NaN,NaN,NaN,
215.000000,NaN,NaN,3525156499.553000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,50938.000000,275.340541,304.946534,185.000000,29050.000000,157.027027,21888.000000,118.313514,202.111514,185.000000,NaN,83.459000,134.535965,50831.000000,503.277228,235.892353,101.000000,15.000000,15.000000,28943.000000,384.963714,NaN,NaN,NaN,NaN,
216.000000,NaN,NaN,3525156499.555000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,42930.000000,251.052632,291.245222,171.000000,39965.000000,233.713450,2965.000000,17.339181,8.715209,171.000000,NaN,75.937477,124.559998,153278.000000,1368.553571,941.892649,112.000000,14.000000,14.000000,150313.000000,1351.214390,NaN,NaN,NaN,NaN,
217.000000,NaN,NaN,3525156499.558000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,83929.000000,485.138728,457.894313,173.000000,78694.000000,454.878613,5235.000000,30.260116,11.558067,173.000000,NaN,73.385612,122.503387,697.000000,697.000000,NaN,1.000000,NaN,NaN,-4538.000000,666.739884,NaN,NaN,NaN,NaN,
218.000000,NaN,NaN,3525156499.560000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,134672.000000,711.275000,904.918655,160.000000,131238.000000,689.812500,3434.000000,21.462500,7.702721,160.000000,NaN,62.112999,95.340950,17367285.000000,648.638095,603.452393,105.000000,NaN,NaN,17363851.000000,627.175595,NaN,NaN,NaN,NaN,
219.000000,NaN,NaN,3525156499.562000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,22942.000000,142.496894,131.323937,161.000000,19424.000000,120.645963,3518.000000,21.850932,9.182328,161.000000,NaN,50.352577,94.155426,41243.000000,274.953333,131.216013,150.000000,13.000000,13.000000,37725.000000,253.102402,NaN,NaN,NaN,NaN,
220.000000,NaN,NaN,3525156499.565000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,20127.000000,141.739437,143.521302,142.000000,9659.000000,68.021127,10468.000000,73.718310,37.130471,142.000000,NaN,79.669998,100.070000,33326.000000,757.409091,143.367688,44.000000,NaN,NaN,22858.000000,683.690781,NaN,NaN,NaN,NaN,
221.000000,NaN,NaN,3525156499.567000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,23894.000000,140.552941,165.128460,170.000000,16945.000000,99.676471,6949.000000,40.876471,27.327339,170.000000,NaN,87.014778,100.071228,12338.000000,725.764706,125.677429,17.000000,NaN,NaN,5389.000000,684.888235,NaN,NaN,NaN,NaN,
222.000000,NaN,NaN,3525156499.569000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,18983.000000,139.580882,131.967816,136.000000,-323.000000,-2.375000,19306.000000,141.955882,125.414032,136.000000,NaN,74.632004,113.138618,452.000000,452.000000,NaN,1.000000,NaN,NaN,-18854.000000,310.044118,NaN,NaN,NaN,NaN,
