stack=a5n_s1;stackdb=a5n_s1_db2;saveTime=3525324133.652000;version=20150903_v1;numObjects=379;numSpines=263;voxelx=0.18;voxely=0.18;voxelz=1;,
i,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,error,,
67,spineROI,0,161.43,103.01,22,,,3,725,22.729,5.7988,0,259.53,radius1,1,160.2,104.1,21.774,2013-02-11,11:05:36,2015-09-17,08:17:48,3443425536.000000,3525322668.160000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
67,spineROI,0,168.44,111.77,9,,,3,671,10.502,-6.4284,0,255.23,radius1,1,167.09,113.43,7.4566,2013-02-11,11:05:36,2015-09-15,10:08:16,3443425536.000000,3525156496.976000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
67,spineROI,0,172.47,117.01,5,,,3,645,4.1526,-12.778,0,277.77,radius1,1,171.02,118.06,6,2013-02-11,11:09:52,2015-09-17,08:17:48,3443425792.000000,3525322668.161000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
67,spineROI,0,166.54,116.59,6,,,3,660,8.0253,-8.9052,0,80.741,radius2,2,167.45,116.18,6.7866,2013-11-16,21:37:04,2015-09-15,10:08:16,3467482624.000000,3525156496.980000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,,,
67,spineROI,0,163.19,112.29,9,,,3,683,13.231,-3.6995,0,65.628,radius2,2,164.17,112.24,9.028,2013-11-16,21:37:04,2015-09-15,10:08:16,3467482624.000000,3525156496.982000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,,,
75,pivotPnt,3,162.42,109.27,11,,,3,698,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
76,controlPnt,2,173.34,121.5,3,,,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
77,controlPnt,2,166.5,113.94,8,,,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
78,controlPnt,2,161.82,107.1,13,,,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
79,controlPnt,2,155.52,101.52,34,,,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
80,spineROI,0,151.21,98.976,31,,,4,772,5.5393,-12.31,0,134.6,radius2,2,151.27,97.724,31.269,2013-02-11,11:56:48,2015-09-15,10:08:16,3443428608.000000,3525156496.985000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
80,spineROI,0,144.44,91.556,23,,,4,816,15.628,-2.2207,0,110.49,radius2,2,144.89,90.283,23.554,2013-02-11,11:56:48,2015-09-15,10:08:16,3443428608.000000,3525156496.988000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
80,spineROI,0,141.05,90.027,21,,,4,825,17.849,0,0,53.091,radius2,2,143.39,89.228,21.401,2013-02-11,11:56:48,2015-09-17,08:17:48,3443428608.000000,3525322668.161000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
80,spineROI,0,146.53,74.537,11,,,4,904,33.51,15.661,0,264.38,radius1,1,145.54,74.473,10,2013-02-11,11:56:48,2015-09-15,10:08:16,3443428608.000000,3525156496.992000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
80,spineROI,0,144.12,84.675,14,,,4,851,22.677,4.8284,0,235.55,radius1,1,143.24,84.099,14.892,2013-02-11,12:01:04,2015-09-17,08:17:48,3443428864.000000,3525322668.162000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
